Year	NUTS2_Code	GDP_Millions_Euro	Tourism_NightStays
2007	FI20	1098.10	172643
2007	HR03	14255.15	3544230
2007	HR04	29691.62	1072683
2007	HU32	9655.99	1412000
2007	IE04	23634.85	4045000
2007	IE05	64213.24	4205026
2007	IE06	109354	6535674
2007	ITC1	128808.17	5974626
2007	ITC2	4346.49	2103057
2007	ITC3	48202.53	10177625
2007	ITC4	333047.41	13868082
2007	ITF1	30085.80	6386498
2007	ITF3	105126.44	11401321
2007	ITF4	71142.47	9880693
2007	ITF6	33252.54	7189202
2007	ITG1	90004.67	8676787
2007	ITG2	32947.72	7991819
2007	ITH1	17943.96	10112396
2007	ITH3	146984.13	25414692
2007	ITH4	36206.87	5161334
2007	ITH5	140855.82	29180257
2007	ITI1	104999.31	21733049
2007	ITI2	22663.07	4096843
2007	ITI3	41210.09	11361332
2007	ITI4	184742.48	10840164
2007	LU00	37178.87	199132
2007	LV00	22654.47	1388706
2007	MT00	5744.89	332398
2007	PT11	49219.74	3423932
2007	PT15	7653.13	4529963
2007	PT16	33206.86	4466748
2007	PT17	65589.57	3720446
2007	PT18	11818.85	1713106
2007	PT20	3603.47	577384
2007	PT30	4305.81	863231
2007	RO11	15357.72	2214141
2007	RO12	15110.34	2537224
2007	RO21	13800.72	1479199
2007	RO22	13791	4749803
2007	RO32	30690.35	931866
2007	RO41	10232.95	1603152
2007	RO42	12620.13	1673760
2007	SE11	104220.41	6271416
2007	SE12	51771.70	4545824
2007	SE21	27328.98	4434629
2007	SE22	47928.75	4470353
2007	SE23	68812.12	7745744
2007	SE31	26691.67	5346406
2007	SE32	12178.04	2078799
2007	SE33	17834.24	2511703
2007	SI04	19561.79	1367224
2007	SK01	15057.73	767395
2007	SK04	11230.44	1702340
2007	UKC1	29674.95	1236297
2007	UKC2	40618.50	3810951
2007	UKD1	14863.44	7358727
2007	UKD3	83967.62	3616468
2007	UKD4	41957.04	6227771
2007	UKD7	41499.50	1515371
2007	UKE1	27330.48	1465567
2007	UKE3	34829.53	727710
2007	UKE4	70006.28	2439125
2007	UKF2	53048.24	1637499
2007	UKF3	17470.74	3627014
2007	UKG1	39114.47	2777537
2007	UKG3	79515.57	3342124
2007	UKH1	75165.73	9611951
2007	UKH2	64178.37	1689337
2007	UKH3	50137.53	1616057
2007	UKI3	200032.54	3547676
2007	UKI4	113817.80	3547676
2007	UKI5	46563.23	555747.72
2007	UKI6	43055.45	555747.72
2007	UKI7	81765.93	555747.72
2007	UKJ1	107775.73	3271327
2007	UKJ2	100979.21	7879729
2007	UKJ3	67444.40	6372391
2007	UKJ4	49978.52	3184081
2007	UKK1	84764.25	6236094
2007	UKK2	36138.87	11049964
2007	UKK3	12543.31	10616957
2007	UKK4	30833.39	10998159
2007	UKL1	43366.97	10669803
2007	UKL2	35337.37	2670581
2007	UKM5	24358.12	1704058
2007	UKM6	14709.30	6317465
2007	UKM7	69926.78	8169872
2007	UKM8	46219.27	3337661
2007	UKM9	19386.88	3337661
2007	UKN0	51557.19	2220205
